GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sistema-bancario,com.diego.models,Account,0,12,0,0,0,5,0,1,0,1
sistema-bancario,com.diego.models,Client,20,0,0,0,2,0,2,0,2,0
sistema-bancario,com.diego.sistema_bancario,AppConfig,43,0,0,0,10,0,3,0,3,0
sistema-bancario,com.diego.sistema_bancario,App,44,0,0,0,10,0,3,0,3,0
sistema-bancario,com.diego.daoclasses,AccountDAO,68,0,0,0,9,0,6,0,6,0
sistema-bancario,com.diego.daoclasses,ClientDAO,15,0,0,0,5,0,5,0,5,0
sistema-bancario,com.diego.facade,BankFacade,162,0,2,0,46,0,10,0,9,0
sistema-bancario,com.diego.services,AccountException,0,4,0,0,0,2,0,1,0,1
sistema-bancario,com.diego.services,ClientException,0,4,0,0,0,2,0,1,0,1
sistema-bancario,com.diego.services,ClientServices,4,37,0,6,1,9,1,5,1,2
sistema-bancario,com.diego.services,AccountServices,0,88,0,8,0,24,0,8,0,4
